"","primary_id","study_title","sequence_accession_number","sampleID","bioreactor_model","donor","include_study","reason","fecalSampleSequence","ndonor_type","country_donor","continent","predigestion","stage","stages","working_volume_mL","pH_ac","pH_tc","pH_dc","stirring_speed_rpm","total_retention_time_h","treatment","external_microorganism","flushing_gas","CO2_.","N2_.","H2_.","region_16S","media_based_on","vitamins","peptone","yeast_extract","NaHCO3","CaCl2","pectin","xylan","arabinogalactan","starch","casein","inulin","NaCl","K2HPO4","NaH2PO4","KH2PO4","MgSO4","hemin","menadione","bile_salts_oxgall","L_cysteine","mucin","glucose","pancreatin","cellobiose","lactose","whey_proteins_lactalbumin","HEPES","guanine","inosine","thymidine","xanthine","choline_chloride","ascorbic_acid","lipoic_acid","histidine","resazurin","aminoacid_mix","trace_mineral_supplement","cellulose","bacto_tryptone","XOS","Tween_80","KCL","MgCl2","FeSO4","MnCl2","CoSO4","CuSO4","ZnSO4","NiCl2","Xylitol","Rice","popcorn","whey_protein","arabic_gum","guar_gum","polyoxyethylene","digested_milk_fragments","maltose","include_sample","sample_name_other","reason_sample_exclusion"
"1","SRP263049","Identification of simplified microbial communities that inhibit Clostridioides difficile infection through dilution/extinction","SRX8384966","SRR11834261","MBRA_Auchtung_et_al_2020","healthy ","no","mouse fecal sample","humanized microbiota mouse fecal biome","n_individual","United States","North America","no","1","ac",NA,NA,NA,NA,NA,8,"dilution_extinction","C. difficile","N2",0,0,0,"V4","BRM3","yes",2,2,2,0.00001,0,0,0.1,0,0,0.2,0.4,0.00004,0,0.00004,0.00001,0.00005,0,0.5,0,0,0.15,0,0.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.15,"yes",NA,NA
"2","SRP263049","Identification of simplified microbial communities that inhibit Clostridioides difficile infection through dilution/extinction","SRX8384965","SRR11834262","MBRA_Auchtung_et_al_2020","healthy ","no","mouse fecal sample","humanized microbiota mouse fecal biome","n_individual","United States","North America","no","1","ac",NA,NA,NA,NA,NA,8,"dilution_extinction","C. difficile","N2",0,0,0,"V4","BRM3","yes",2,2,2,0.00001,0,0,0.1,0,0,0.2,0.4,0.00004,0,0.00004,0.00001,0.00005,0,0.5,0,0,0.15,0,0.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.15,"yes",NA,NA
"3","SRP263049","Identification of simplified microbial communities that inhibit Clostridioides difficile infection through dilution/extinction","SRX8384964","SRR11834263","MBRA_Auchtung_et_al_2020","healthy ","no","mouse fecal sample","humanized microbiota mouse fecal biome","n_individual","United States","North America","no","1","ac",NA,NA,NA,NA,NA,8,"dilution_extinction","C. difficile","N2",0,0,0,"V4","BRM3","yes",2,2,2,0.00001,0,0,0.1,0,0,0.2,0.4,0.00004,0,0.00004,0.00001,0.00005,0,0.5,0,0,0.15,0,0.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.15,"yes",NA,NA
"4","SRP263049","Identification of simplified microbial communities that inhibit Clostridioides difficile infection through dilution/extinction","SRX8384963","SRR11834264","MBRA_Auchtung_et_al_2020","healthy ","no","mouse fecal sample","humanized microbiota mouse fecal biome","n_individual","United States","North America","no","1","ac",NA,NA,NA,NA,NA,8,"dilution_extinction","C. difficile","N2",0,0,0,"V4","BRM3","yes",2,2,2,0.00001,0,0,0.1,0,0,0.2,0.4,0.00004,0,0.00004,0.00001,0.00005,0,0.5,0,0,0.15,0,0.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.15,"yes",NA,NA
"5","SRP263049","Identification of simplified microbial communities that inhibit Clostridioides difficile infection through dilution/extinction","SRX8384962","SRR11834265","MBRA_Auchtung_et_al_2020","healthy ","no","mouse fecal sample","humanized microbiota mouse fecal biome","n_individual","United States","North America","no","1","ac",NA,NA,NA,NA,NA,8,"dilution_extinction","C. difficile","N2",0,0,0,"V4","BRM3","yes",2,2,2,0.00001,0,0,0.1,0,0,0.2,0.4,0.00004,0,0.00004,0.00001,0.00005,0,0.5,0,0,0.15,0,0.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.15,"yes",NA,NA
"6","SRP263049","Identification of simplified microbial communities that inhibit Clostridioides difficile infection through dilution/extinction","SRX8384961","SRR11834266","MBRA_Auchtung_et_al_2020","healthy ","no","mouse fecal sample","humanized microbiota mouse fecal biome","n_individual","United States","North America","no","1","ac",NA,NA,NA,NA,NA,8,"dilution_extinction","C. difficile","N2",0,0,0,"V4","BRM3","yes",2,2,2,0.00001,0,0,0.1,0,0,0.2,0.4,0.00004,0,0.00004,0.00001,0.00005,0,0.5,0,0,0.15,0,0.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.15,"yes",NA,NA
"7","SRP263049","Identification of simplified microbial communities that inhibit Clostridioides difficile infection through dilution/extinction","SRX8384960","SRR11834267","MBRA_Auchtung_et_al_2020","healthy ","no","mouse fecal sample","humanized microbiota mouse fecal biome","n_individual","United States","North America","no","1","ac",NA,NA,NA,NA,NA,8,"dilution_extinction","C. difficile","N2",0,0,0,"V4","BRM3","yes",2,2,2,0.00001,0,0,0.1,0,0,0.2,0.4,0.00004,0,0.00004,0.00001,0.00005,0,0.5,0,0,0.15,0,0.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.15,"yes",NA,NA
"8","SRP263049","Identification of simplified microbial communities that inhibit Clostridioides difficile infection through dilution/extinction","SRX8384958","SRR11834269","MBRA_Auchtung_et_al_2020","healthy ","no","mouse fecal sample","humanized microbiota mouse fecal biome","n_individual","United States","North America","no","1","ac",NA,NA,NA,NA,NA,8,"dilution_extinction","C. difficile","N2",0,0,0,"V4","BRM3","yes",2,2,2,0.00001,0,0,0.1,0,0,0.2,0.4,0.00004,0,0.00004,0.00001,0.00005,0,0.5,0,0,0.15,0,0.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.15,"yes",NA,NA
"9","SRP263049","Identification of simplified microbial communities that inhibit Clostridioides difficile infection through dilution/extinction","SRX8384957","SRR11834270","MBRA_Auchtung_et_al_2020","healthy ","no","mouse fecal sample","humanized microbiota mouse fecal biome","n_individual","United States","North America","no","1","ac",NA,NA,NA,NA,NA,8,"dilution_extinction","C. difficile","N2",0,0,0,"V4","BRM3","yes",2,2,2,0.00001,0,0,0.1,0,0,0.2,0.4,0.00004,0,0.00004,0.00001,0.00005,0,0.5,0,0,0.15,0,0.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.15,"yes",NA,NA
"10","SRP263049","Identification of simplified microbial communities that inhibit Clostridioides difficile infection through dilution/extinction","SRX8384956","SRR11834271","MBRA_Auchtung_et_al_2020","healthy ","no","mouse fecal sample","humanized microbiota mouse fecal biome","n_individual","United States","North America","no","1","ac",NA,NA,NA,NA,NA,8,"dilution_extinction","C. difficile","N2",0,0,0,"V4","BRM3","yes",2,2,2,0.00001,0,0,0.1,0,0,0.2,0.4,0.00004,0,0.00004,0.00001,0.00005,0,0.5,0,0,0.15,0,0.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.15,"yes",NA,NA
